iter	MultiClass
0	0.9769655854
1	0.8826835033
2	0.8028904621
3	0.7394134269
4	0.6838128921
5	0.6362247437
6	0.5948694897
7	0.5584242089
8	0.5264372728
9	0.4966280398
10	0.4706457152
11	0.4470486674
12	0.4254020758
13	0.4072319248
14	0.3899197663
15	0.3746454616
16	0.3599318408
17	0.3464032149
18	0.3350676848
19	0.323596176
20	0.3132029145
21	0.3042192941
22	0.2958791758
23	0.2871738977
24	0.2812127118
25	0.2741815462
26	0.2680462616
27	0.2632569046
28	0.2582912244
29	0.2531336763
30	0.248530392
31	0.2430298448
32	0.2379486114
33	0.2328339917
34	0.229169537
35	0.2264113358
36	0.2224169804
37	0.2184619874
38	0.2154538404
39	0.2106780207
40	0.2077474544
41	0.2041118751
42	0.2005086587
43	0.19724525
44	0.1940575625
45	0.1915031277
46	0.1892401517
47	0.1856175417
48	0.1832658416
49	0.1795077854
50	0.1773791785
51	0.1753136375
52	0.1729553961
53	0.170352871
54	0.1671021909
55	0.1639412918
56	0.1621357315
57	0.1599147824
58	0.15751663
59	0.1546916095
60	0.1520370335
61	0.1501021811
62	0.1483997077
63	0.1459878144
64	0.1437744047
65	0.1419588181
66	0.1400434571
67	0.1373477288
68	0.1358880075
69	0.1338928708
70	0.1328454639
71	0.1309850167
72	0.128610413
73	0.1265760871
74	0.1249088551
75	0.123487002
76	0.1220969369
77	0.1204480281
78	0.1182901679
79	0.1172256049
80	0.115490803
81	0.114448252
82	0.1129879406
83	0.111500358
84	0.110092966
85	0.1090247717
86	0.1073477841
87	0.1058018943
88	0.1047014216
89	0.1040052863
90	0.1034403625
91	0.1023726559
92	0.1012383285
93	0.09952180022
94	0.09841650026
95	0.09758168809
96	0.09673766942
97	0.09550653317
98	0.09428823086
99	0.09301302644
100	0.09161484222
101	0.09064531736
102	0.08979048566
103	0.08902048548
104	0.08798225143
105	0.08698106882
106	0.08581281251
107	0.08527692645
108	0.0842436271
109	0.0833951937
110	0.0827345679
111	0.08172299367
112	0.08059279382
113	0.07991557234
114	0.07863001755
115	0.07796215918
116	0.0773318264
117	0.07690058963
118	0.07595678437
119	0.07518196481
120	0.07407071103
121	0.07337916101
122	0.07255889715
123	0.07175135475
124	0.07136834822
125	0.07104803757
126	0.07043988893
127	0.06991155768
128	0.06907175163
